Song_popularity,Artist_popularity,Duration,Bars_confidence,Bars_start,Beats_confidence,Beats_start,End_of_fade_in,Familiarity,Key,Key_confidence,Loudness,Mode,Mode_confidence,Start_of_fade_out,Tatums_confidence,Tatums_start,Tempo,Terms_freq,Time_signature,Time_signature_confidence,Genre
0.342908,0.405597,215.11791000000002,0.023,0.45293999999999995,0.441,0.45293999999999995,0.0,0.327574,7.0,0.451,-1.026,1.0,0.353,208.41099999999997,0.12300000000000001,0.15011,99.88600000000001,1.0,4.0,0.821,rock
0.187895,0.159717,232.202,0.37,0.37233,0.0,0.37233,3.5580000000000003,0.39427399999999996,2.0,0.251,-7.375,1.0,0.545,222.00599999999997,0.16899999999999998,0.1953,130.06,0.9932559999999999,4.0,0.08800000000000001,rock
0.1904,0.31312,153.33831999999998,0.185,9.92414,0.376,0.1937,0.166,0.5052369999999999,8.0,0.455,-63.933358,-30.925,1.0,0.46399999999999997,140.487,0.465,0.1937,44.407,1.0,4.0,blues
0.190656,0.259463,200.25423999999998,0.031,1.64265,0.425,1.64265,0.0,0.433721,7.0,0.638,-18.095,1.0,0.526,193.747,0.425,1.64265,163.759,1.0,4.0,0.623,rock
0.1913,0.300454,138.762,0.034,0.81845,0.12300000000000001,0.55934,0.873,0.443162,2.0,0.997,-26.458000000000002,1.0,0.8959999999999999,131.425,0.12300000000000001,0.55934,235.31799999999998,1.0,4.0,0.892,classical
0.192248,0.40641,220.52526,0.069,0.15319000000000002,0.0,0.15319000000000002,1.35,0.411789,5.0,0.435,139.74092,-5.654,1.0,0.636,212.074,0.298,0.15319000000000002,143.095,0.962685,4.0,rock
0.192648,0.168202,224.02567000000002,0.051,0.65958,0.22699999999999998,0.32950999999999997,0.0,0.546253,7.0,0.625,-9.559,1.0,0.541,217.821,0.63,0.16365,179.965,1.0,4.0,0.066,hip-hop
0.19326400000000002,0.405597,240.84852999999998,0.044000000000000004,1.26033,0.639,0.62166,0.0,0.449744,0.0,0.722,-7.689,1.0,0.619,230.33,0.852,0.62166,96.96700000000001,1.0,4.0,0.9229999999999999,rock
0.193711,0.331637,290.7424,0.01,0.79293,0.337,0.30378,0.0,0.456059,8.0,0.439,-11.487,1.0,0.48,272.591,0.6409999999999999,0.30378,105.046,1.0,4.0,1.0,classical
0.193858,0.378498,239.98649,0.19399999999999998,1.06912,0.48100000000000004,0.27715,5.939,0.473627,9.0,0.03,-87.90684,-5.627000000000001,0.0,0.39,226.476,0.071,0.0787,144.836,1.0,3.0,rock
0.193928,0.369084,199.00036,0.081,0.030260000000000002,0.408,0.030260000000000002,0.109,0.507079,1.0,0.21600000000000003,-16.595,1.0,0.368,192.90599999999998,0.0,0.030260000000000002,126.999,0.9900760000000001,7.0,0.705,pop
0.194214,0.405597,263.81016,0.002,0.9403799999999999,0.948,0.43715,0.0,0.36630300000000005,2.0,0.605,-14.048,1.0,0.769,240.59900000000002,0.001,0.43715,121.37899999999999,1.0,4.0,0.018000000000000002,blues
0.194633,0.25614899999999996,196.64934,0.413,0.14729,0.0,0.14729,0.574,0.28520999999999996,7.0,0.528,-16.862000000000002,0.0,0.532,183.33900000000003,0.618,0.14729,205.32299999999998,0.988052,4.0,0.0,blues
0.194735,0.233132,153.20771000000002,0.024,1.08229,0.552,0.47129,0.0,0.062571,0.0,0.0,-8.798,1.0,0.0,146.431,0.21,0.17752,88.935,0.993865,4.0,0.777,rock
0.194758,0.25366,152.0322,1.0,0.33336,1.0,0.33336,0.258,0.329024,4.0,0.376,-97.14305999999999,-18.299,0.0,0.498,145.56,1.0,0.33336,105.169,1.0,1.0,country
0.196127,0.283563,86.09914,0.755,0.55691,0.755,0.55691,0.0,0.382308,4.0,0.5589999999999999,-93.29156,-15.002,1.0,0.318,79.999,0.345,0.40598,203.792,1.0,1.0,country
0.197979,0.25435599999999997,176.90077,0.031,1.3625399999999999,0.925,0.32211,0.253,0.41085,11.0,0.684,-11.323,0.0,0.613,167.18900000000002,0.605,0.32211,118.56299999999999,1.0,4.0,1.0,blues
0.19858699999999999,0.405597,182.20363,1.0,0.44173,1.0,0.44173,2.426,0.054709,0.0,0.6709999999999999,-11.415,1.0,0.748,172.095,0.5720000000000001,0.44173,63.007,1.0,1.0,0.537,classical
0.198785,0.139247,249.41669,0.319,0.50432,0.0,0.14912,0.647,0.408389,2.0,0.883,-6.693,1.0,0.728,238.43400000000003,0.662,0.14912,167.92,1.0,4.0,0.75,blues
0.199238,0.266275,273.52771,0.023,1.21595,1.0,0.25377,2.177,0.400434,1.0,0.652,-6.305,1.0,0.6940000000000001,268.893,0.6409999999999999,0.25377,125.01299999999999,0.9427549999999999,4.0,1.0,pop
0.199906,0.262656,226.5073,0.07200000000000001,2.19216,0.636,0.58441,0.27,0.26821,4.0,0.92,-5.267,0.0,0.774,217.62900000000002,0.46399999999999997,0.055060000000000005,75.532,1.0,5.0,0.763,classical
0.200736,0.405597,285.88363,0.009000000000000001,1.9404299999999999,0.7809999999999999,1.47291,5.3,0.566531,0.0,0.447,-18.695999999999998,1.0,0.406,279.51,0.045,1.47291,133.227,1.0,4.0,0.0,blues
0.202283,0.244367,174.34077,0.068,1.1033899999999999,1.0,0.11051,0.067,0.312488,7.0,0.001,-6.309,1.0,0.34299999999999997,141.996,0.63,0.11051,120.005,1.0,4.0,0.557,rock
